age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
32,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,1785,45,Cuba,<=50K
44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
24,Self-emp-not-inc,5th-6th,4,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Poland,<=50K
47,Local-gov,Assoc-acdm,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,21,United-States,<=50K
41,Private,Assoc-voc,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
62,Private,Masters,15,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,8,United-States,<=50K
79,Private,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,30,Mexico,<=50K
46,Federal-gov,Masters,12,Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K
27,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Other,Male,0,2158,40,Guatemala,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
29,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,1870,40,United-States,<=50K
30,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,Greece,<=50K
32,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,49,United-States,>50K
56,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
26,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Puerto-Rico,<=50K
33,Private,11th,4,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,44,United-States,<=50K
27,Self-emp-not-inc,Assoc-acdm,11,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,18,United-States,<=50K
55,Self-emp-inc,Doctorate,9,Married-civ-spouse,Sales,Husband,White,Male,0,1814,59,United-States,>50K
73,Private,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,76738,0,40,United-States,<=50K
33,Private,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,40,India,<=50K
57,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,1621,49,United-States,<=50K
52,Private,12th,7,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
68,Private,HS-grad,10,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,34,Scotland,>50K
70,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
24,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
29,Federal-gov,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,20,South,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,0,1749,40,United-States,>50K
26,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
46,Private,Some-college,10,Divorced,Adm-clerical,Wife,Black,Female,0,0,40,Taiwan,<=50K
16,Private,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,1897,40,United-States,<=50K
31,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,>50K
33,Without-pay,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,>50K
21,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1294,49,United-States,<=50K
55,Private,Assoc-voc,7,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,0,0,49,United-States,<=50K
47,Private,Masters,11,Widowed,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,<=50K
47,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,6390,0,40,United-States,<=50K
31,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,2168,29,United-States,<=50K
31,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
53,Private,Some-college,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
43,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,England,<=50K
58,Federal-gov,HS-grad,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
28,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
44,Private,10th,6,Widowed,Other-service,Other-relative,Black,Female,0,0,40,United-States,<=50K
25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,59,United-States,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7716,0,40,England,<=50K
24,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,El-Salvador,<=50K
27,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2152,30,Poland,<=50K
51,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
31,Federal-gov,HS-grad,9,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K
37,Private,HS-grad,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
55,Private,9th,5,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,0,0,40,England,<=50K
21,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
33,Private,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,0,0,50,Germany,<=50K
46,Without-pay,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
47,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
38,Private,Assoc-acdm,11,Married-civ-spouse,Protective-serv,Unmarried,White,Female,7891,0,40,United-States,>50K
52,Private,10th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1179,40,Germany,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,1792,40,Cambodia,<=50K
65,Federal-gov,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Self-emp-inc,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,2264,40,United-States,>50K
52,Private,9th,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,57,Mexico,<=50K
27,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1777,40,United-States,>50K
30,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,30,United-States,<=50K
30,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,33029,0,35,United-States,<=50K
31,Private,7th-8th,12,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,1537,40,United-States,<=50K
29,Private,Masters,9,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
41,Private,Bachelors,11,Separated,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
35,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5237,0,60,United-States,>50K
40,Private,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Outlying-US(Guam-USVI-etc),>50K
37,Private,Assoc-acdm,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,63,United-States,>50K
52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5318,0,67,United-States,>50K
41,Private,Assoc-acdm,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,1549,40,United-States,>50K
40,Private,HS-grad,9,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,49,South,<=50K
28,Private,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,36,United-States,<=50K
21,Private,Assoc-acdm,11,Never-married,Exec-managerial,Own-child,White,Female,0,1742,40,United-States,<=50K
29,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,12328,0,40,United-States,>50K
50,State-gov,Some-college,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2032,71,United-States,<=50K
28,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,8,United-States,<=50K
41,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1570,58,United-States,>50K
35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
53,Self-emp-inc,Prof-school,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7450,0,49,United-States,>50K
69,Private,Some-college,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,61,United-States,>50K
28,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
64,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,12,United-States,<=50K
62,Local-gov,Masters,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,<=50K
33,Local-gov,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,5480,0,40,United-States,>50K
40,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Male,0,0,66,United-States,<=50K
27,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
20,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Female,0,1613,40,United-States,<=50K
53,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K
33,Private,10th,5,Married-civ-spouse,Sales,Wife,White,Male,0,0,29,Cuba,<=50K
37,Private,Assoc-voc,7,Married-spouse-absent,Priv-house-serv,Unmarried,Black,Female,0,0,40,El-Salvador,<=50K
62,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
55,State-gov,Assoc-voc,14,Never-married,Craft-repair,Not-in-family,White,Male,0,1681,40,United-States,<=50K
27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
33,Private,1st-4th,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,HS-grad,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,Assoc-acdm,10,Never-married,Exec-managerial,Unmarried,Black,Female,0,1622,40,United-States,<=50K
48,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,<=50K
20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
27,Private,12th,8,Never-married,Farming-fishing,Not-in-family,White,Male,128775,0,40,United-States,<=50K
32,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Local-gov,Assoc-acdm,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,29,United-States,<=50K
25,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,29,United-States,<=50K
45,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,50,United-States,>50K
37,Private,HS-grad,10,Never-married,Machine-op-inspct,Unmarried,White,Male,24790,0,40,United-States,<=50K
27,Private,Some-college,10,Married-civ-spouse,Sales,Own-child,White,Male,0,1980,49,United-States,<=50K
28,Private,Some-college,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,13,United-States,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2018,59,Taiwan,<=50K
33,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
51,Private,7th-8th,4,Married-spouse-absent,Other-service,Unmarried,Other,Female,0,0,40,Mexico,<=50K
35,Private,10th,9,Widowed,Other-service,Wife,Black,Female,0,0,40,Guatemala,<=50K
31,Private,11th,4,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,29,Mexico,<=50K
21,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,29,Puerto-Rico,<=50K
58,Private,Assoc-voc,9,Married-civ-spouse,Protective-serv,Husband,White,Male,8161,1509,40,United-States,>50K
40,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
42,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1632,40,United-States,<=50K
40,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,1723,40,United-States,<=50K
24,Private,HS-grad,10,Separated,Handlers-cleaners,Not-in-family,Black,Female,0,1716,14,United-States,<=50K
49,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Unmarried,White,Female,0,1660,40,United-States,<=50K
46,Private,Bachelors,13,Married-AF-spouse,Other-service,Not-in-family,White,Female,0,0,49,United-States,<=50K
65,Local-gov,Assoc-voc,11,Married-civ-spouse,Sales,Own-child,White,Male,10659,0,40,United-States,<=50K
66,Private,5th-6th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Scotland,<=50K
23,Federal-gov,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,Private,HS-grad,7,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
32,Local-gov,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,0,0,49,United-States,<=50K
30,Private,10th,7,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,49,Dominican-Republic,<=50K
44,Private,Assoc-voc,9,Never-married,Other-service,Unmarried,Black,Female,0,2098,9,Yugoslavia,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,44,Philippines,>50K
24,Federal-gov,Assoc-acdm,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
25,Self-emp-not-inc,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
45,Private,7th-8th,4,Married-civ-spouse,Sales,Husband,Other,Female,0,0,57,South,<=50K
37,Federal-gov,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,43,United-States,<=50K
20,Private,10th,3,Never-married,Farming-fishing,Unmarried,White,Male,0,0,40,Mexico,<=50K
23,Private,Some-college,10,Never-married,Other-service,Other-relative,White,Male,0,0,40,England,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States,<=50K
52,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,Mexico,<=50K
52,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,7107,1697,40,United-States,>50K
51,Private,Masters,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,77,United-States,<=50K
26,Private,7th-8th,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,10667,0,40,Dominican-Republic,>50K
66,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
20,Private,Some-college,7,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
57,Private,5th-6th,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Dominican-Republic,<=50K
42,Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Other-relative,Other,Female,0,0,40,Nicaragua,<=50K
25,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,<=50K
40,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
53,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,56,United-States,<=50K
26,Private,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,29,United-States,<=50K
64,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,6698,0,58,United-States,>50K
50,Private,Doctorate,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,62,United-States,>50K
26,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
41,Private,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
66,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,Jamaica,<=50K
51,Private,11th,3,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Mexico,<=50K
52,Local-gov,Bachelors,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
33,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2081,40,United-States,>50K
19,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,Dominican-Republic,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,11,United-States,<=50K
39,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,>50K
30,Private,Bachelors,13,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,49,United-States,<=50K
60,Private,7th-8th,3,Married-spouse-absent,Other-service,Husband,Other,Female,0,0,40,Mexico,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,34,United-States,<=50K
38,Private,Prof-school,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
28,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1629,19,United-States,<=50K
41,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,49,United-States,<=50K
58,Private,Assoc-voc,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,Doctorate,11,Separated,Protective-serv,Unmarried,White,Male,6673,0,30,Germany,<=50K
52,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,1825,49,United-States,>50K
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,8232,0,67,United-States,>50K
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,13,Yugoslavia,>50K
29,Private,HS-grad,9,Separated,Farming-fishing,Own-child,White,Female,0,0,14,United-States,<=50K
36,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2107,40,United-States,<=50K
